"""Arbol"";""DAP "";""ABm"";""HT"";""Rectitud"";""BFm""";;;;;
161;21.9;0.04;18.5;0;0
162;16.5;0.02;15.75;1;0
163;24.8;0.05;18.75;1;2
164;19.5;0.03;18.25;1;0
165;18.8;0.03;17.25;1;1
166;27.8;0.06;18.5;1;0
167;19;0.03;18.75;0;2
168;17.1;0.02;17;1;2
169;27.3;0.06;18.25;1;0
170;23.8;0.04;18;0;0
171;17.3;0.02;17.75;1;2
172;18.5;0.03;17.25;1;1
173;12.1;0.01;18;2;0
174;19.6;0.03;16.75;1;0
175;16.8;0.02;13.75;1;2
176;24;0.05;17.75;0;0
177;27.3;0.06;17;3;0
178;22;0.04;19.25;1;0
179;19.3;0.03;16.75;1;0
180;23.4;0.04;19;1;1
181;23;0.04;20;1;0
182;19.6;0.03;16.75;1;1
183;28;0.06;17.75;1;0
184;21.4;0.04;18;1;0
185;21.4;0.04;18.25;1;0
186;22.9;0.04;17.5;1;0
187;26.4;0.05;17.25;1;0
188;24.6;0.05;20.75;2;0
189;15;0.02;16.25;0;2
190;22.8;0.04;19.75;1;0
191;26.3;0.05;19.25;1;0
192;18.3;0.03;17.75;1;1
193;30.4;0.07;22;0;0
194;26.2;0.05;19.75;0;0
195;23.5;0.04;19.75;0;0
196;25.5;0.05;21;0;0
197;23.4;0.04;20;1;0
198;16.7;0.02;17.25;1;1
199;28.4;0.06;21.25;1;0
200;21.2;0.04;18;1;0
201;22.2;0.04;18.25;1;0
202;23.7;0.04;21.25;0;0
203;17.7;0.02;17.5;1;0
204;22.7;0.04;19;0;0
205;23.4;0.04;19.25;1;0
206;21;0.03;20.25;0;1
207;24;0.05;18.25;0;0
208;19;0.03;19;0;0
209;23;0.04;21.5;0;0
210;22.3;0.04;17.5;0;0
211;25.5;0.05;21.5;0;0
212;15;0.02;15;2;2
213;27.8;0.06;19.5;0;0
214;20;0.03;18;1;0
215;25;0.05;13;2;2
216;20.2;0.03;15;1;2
217;16;0.02;14.5;1;2
218;21.2;0.04;20.25;1;1
219;28.9;0.07;18.5;0;1
220;18.8;0.03;18.5;1;2
221;20.8;0.03;18.75;1;0
222;21.9;0.04;20.25;1;0
223;23.3;0.04;17.25;1;2
224;24.3;0.05;18.25;1;2
225;14.7;0.02;15.75;1;2
226;23.8;0.04;16.75;1;0
227;17.3;0.02;14;1;2
228;13;0.01;13.5;1;1
229;26;0.05;18;1;0
230;21.1;0.03;19.25;2;0
231;25;0.05;19.25;1;0
232;17.1;0.02;18;1;2
233;24.2;0.05;14.25;0;0
234;14.2;0.02;17.25;1;1
235;26.9;0.06;19.75;1;0
236;21.9;0.04;19.5;1;1
237;14.8;0.02;12.5;1;2
238;17.8;0.02;15.5;1;0
239;12.5;0.01;14.75;1;2
240;20;0.03;18.75;0;0
241;20;0.03;14.75;0;2
242;24.2;0.05;17.25;1;0
243;24.1;0.05;17.5;1;2
244;21.7;0.04;18.5;1;0
245;23.3;0.04;17.75;3;1
246;18.3;0.03;18.5;1;1
247;21;0.03;17.25;1;2
248;22.6;0.04;16.5;1;0
249;18.9;0.03;18;1;0
250;24.2;0.05;17.5;1;0
251;21.5;0.04;16;1;2
252;26.5;0.06;16.75;1;0
253;17.5;0.02;14.75;3;2
254;20.5;0.03;11.5;1;1
255;20.7;0.03;17.75;1;0
256;25;0.05;19.75;0;0
257;24.9;0.05;18.5;0;0
258;24.9;0.05;19;1;0
259;18.9;0.03;15.5;1;1
260;20.3;0.03;18;0;2
261;18.8;0.03;18;0;0
262;18.9;0.03;17.5;1;0
263;22.4;0.04;18.75;1;0
264;23;0.04;16.75;1;0
265;19.2;0.03;14.75;1;0
266;25.8;0.05;17.75;1;0
267;16.7;0.02;13;1;0
268;24.6;0.05;18.75;1;0
269;15.4;0.02;16;0;2
270;30.3;0.07;23.5;0;1
271;17.3;0.02;13.5;1;2
272;16.4;0.02;13.25;1;1
273;28.2;0.06;20.5;2;0
274;17;0.02;16.25;1;2
275;21.4;0.04;19;2;2
276;17.6;0.02;15.5;0;1
277;18.7;0.03;17.5;1;1
278;14.7;0.02;12.75;1;2
279;23.3;0.04;16.75;1;0
280;19.6;0.03;16.75;1;0
281;22.7;0.04;19.25;1;0
282;29.8;0.07;19;0;0
283;16.8;0.02;17.25;0;1
284;19.2;0.03;17;1;0
285;29.8;0.07;20;0;0
286;23.2;0.04;18.25;1;2
287;30.5;0.07;20;1;0
288;17;0.02;16.25;1;1
289;20.3;0.03;13;1;0
290;10.9;0.01;12.5;1;2
291;22.8;0.04;13.5;0;0
292;28.7;0.06;18.5;1;0
293;22.2;0.04;15.75;1;0
294;25.3;0.05;18;0;0
295;18;0.03;15;0;0
296;23.2;0.04;18;0;0
297;21.3;0.04;16.25;0;0
298;25;0.05;19;0;0
299;19.2;0.03;14.75;2;0
300;22.2;0.04;18.75;1;0
301;21.8;0.04;15.75;2;0
302;18.2;0.03;18.25;0;0
303;25.4;0.05;17.25;2;0
304;18.3;0.03;16;3;0
305;19.6;0.03;14;0;0
306;16.7;0.02;13.25;0;2
307;17.8;0.02;15;1;0
308;27.4;0.06;18.75;0;2
309;24.7;0.05;16.5;3;0
310;21.8;0.04;17.5;0;0
311;26.6;0.06;18.75;1;0
312;19.2;0.03;14;0;0
313;38;0.11;20.75;0;0
314;14.4;0.02;15;1;2
315;24.5;0.05;16.75;1;0
316;21.5;0.04;16.25;0;2
317;24.5;0.05;12.5;1;2
318;16.3;0.02;14.75;3;2
319;23.6;0.04;17.75;1;0
320;20.2;0.03;17.25;1;0
321;38.4;0.12;19.5;1;0
322;26.7;0.06;14.75;1;0
323;25.8;0.05;18.25;1;2
324;22.9;0.04;18.25;1;0
325;22.1;0.04;15.75;1;0
326;21.5;0.04;16;1;2
327;22;0.04;19;0;0
328;22.9;0.04;16.75;0;0
329;18.5;0.03;15.5;0;0
330;25.3;0.05;17.5;1;0
331;24.5;0.05;18.25;0;2
332;23.4;0.04;18;0;0
333;18.5;0.03;17.75;0;2
334;26;0.05;17.5;0;2
335;28.8;0.07;17.5;1;0
336;17.8;0.02;15.5;0;2
337;20.8;0.03;18.5;0;0
338;19.1;0.03;15;0;0
339;20.8;0.03;17.75;1;0
340;20.8;0.03;14.75;0;0
341;20.5;0.03;16.25;0;2
342;28.2;0.06;18.25;0;2
343;23.6;0.04;18.25;0;2
344;19.9;0.03;17.25;1;0
345;25;0.05;19;1;0
346;18.7;0.03;16;0;0
347;22.6;0.04;16.75;2;0
348;24.6;0.05;17.5;1;0
349;16.6;0.02;15;1;2
350;21.3;0.04;17.25;2;2
351;21.5;0.04;16.75;1;0
352;16;0.02;14.5;1;2
353;20.5;0.03;16.5;0;2
354;15;0.02;12.5;1;0
355;26.5;0.06;18.25;0;2
356;20.7;0.03;18;1;0
357;18.8;0.03;15;0;0
358;18.3;0.03;17.25;0;0
359;22;0.04;18.75;1;0
360;22;0.04;18;0;0
361;23.5;0.04;19.25;0;0
362;26;0.05;17.5;1;0
363;18.7;0.03;15;1;0
364;22.9;0.04;19.5;0;0
365;20.3;0.03;15.25;1;1
366;18;0.03;15;1;0
367;22.2;0.04;15.25;1;0
368;10;0.01;9.25;1;2
369;18.3;0.03;14.25;0;1
370;18.5;0.03;17;1;0
371;23.7;0.04;17;1;2
372;19.3;0.03;14.75;1;0
373;26;0.05;16.25;1;2
374;20.5;0.03;15;1;0
375;20;0.03;14;1;2
376;22.6;0.04;14.75;0;0
377;28.9;0.07;17.75;2;0
378;20.6;0.03;12;1;0
379;18.7;0.03;16.25;1;0
380;21;0.03;17.25;1;0
381;28.9;0.07;18;0;0
382;22.5;0.04;17.25;0;0
383;23;0.04;18.5;0;1
384;29;0.07;16.25;1;0
385;21.9;0.04;16.75;0;1
386;18.9;0.03;14;0;0
387;23.6;0.04;18.25;0;0
388;22.5;0.04;18.25;0;0
389;16;0.02;16.5;1;0
390;21.7;0.04;16;0;2
391;19.2;0.03;15;0;0
392;18.8;0.03;14.5;2;2
393;22.7;0.04;19;1;0
394;24;0.05;18.75;0;0
395;18.3;0.03;16.5;0;1
396;21.5;0.04;18;0;0
397;16.3;0.02;15.25;0;0
398;26.8;0.06;17.25;3;2
399;21.6;0.04;17;0;0
400;19.3;0.03;17.25;0;0
401;27.7;0.06;17.25;0;0
402;30.4;0.07;17.25;1;0
403;17.4;0.02;14.25;0;0
404;24;0.05;17;1;0
405;27.9;0.06;13.75;1;0
406;22.5;0.04;12;1;0
407;14.8;0.02;12.75;0;2
408;21.4;0.04;12;1;0
409;20.1;0.03;14.25;1;0
410;26.3;0.05;18;0;0
411;23.1;0.04;14.25;3;0
412;23.7;0.04;15;0;2
413;25.2;0.05;15.5;1;0
414;25;0.05;16.25;3;2
415;20.9;0.03;13;1;0
416;27.6;0.06;15.5;0;0
417;19.6;0.03;16.25;2;2
418;22.9;0.04;16.75;0;0
419;20.1;0.03;16.5;1;0
420;22.5;0.04;16.25;1;0
421;17.4;0.02;15.5;2;0
422;22;0.04;13.75;2;0
423;19.4;0.03;14.5;0;2
424;19.8;0.03;14.25;0;0
425;25.7;0.05;17;0;0
426;19.8;0.03;13.75;2;1
427;21.3;0.04;17;0;0
428;23.7;0.04;15.75;0;2
429;23.8;0.04;16.5;2;0
430;21.5;0.04;15.25;0;0
431;14.7;0.02;14;1;0
432;20.8;0.03;15.25;1;0
433;25.2;0.05;17.25;2;0
434;15.2;0.02;16.5;0;2
435;30.2;0.07;18.75;1;0
436;20.6;0.03;16.75;1;0
437;21.4;0.04;12;0;0
438;20;0.03;15;2;2
439;21.8;0.04;17.75;1;0
440;17.9;0.03;16.75;0;0
441;21.4;0.04;16.5;1;0
442;24.7;0.05;17.5;0;0
443;25.6;0.05;16.25;0;1
444;10.4;0.01;8.25;1;2
445;20.3;0.03;18;0;0
446;20.9;0.03;18;0;2
447;12.9;0.01;11.5;0;1
448;26.6;0.06;17;1;1
449;8.3;0.01;8.5;2;2
450;24.3;0.05;17.25;0;1
451;20.4;0.03;17.75;0;2
452;18.4;0.03;17.25;1;1
453;11.9;0.01;11.5;1;2
454;36.2;0.1;17.5;0;0
455;9.2;0.01;9.5;1;2
456;25.3;0.05;14.5;1;0
457;19.2;0.03;18;0;1
458;14.1;0.02;15.75;0;2
459;19.2;0.03;14.25;1;0
460;17;0.02;14.25;1;0
461;22.1;0.04;16;1;2
462;23;0.04;18.25;1;0
463;21.4;0.04;16.25;1;0
464;27.7;0.06;18.5;0;0
465;20.6;0.03;19;1;0
466;20.8;0.03;16;1;0
467;25.9;0.05;18;1;0
468;20.2;0.03;15.75;2;0
469;22.1;0.04;17;1;2
470;18.1;0.03;15.25;1;2
471;20.8;0.03;17;1;2
472;21.9;0.04;16.75;1;2
473;22.4;0.04;16.25;1;0
474;26.1;0.05;17.75;1;0
475;17.8;0.02;16.5;1;0
476;21.9;0.04;17.75;1;0
477;26.1;0.05;19.75;0;0
478;19.7;0.03;15.75;1;0
479;28.7;0.06;16.75;0;0
480;27.4;0.06;18.25;1;0
481;23.3;0.04;18.25;1;0
482;23.5;0.04;18;0;0
483;16.7;0.02;14.75;1;0
484;20.2;0.03;17.75;1;0
485;16.8;0.02;15.25;1;0
486;29.4;0.07;20.25;1;0
487;17.9;0.03;14.75;1;0
488;21.7;0.04;15;1;0
489;22.7;0.04;19.5;0;2
490;19.5;0.03;15.75;1;2
491;21.3;0.04;15.25;1;0
492;19;0.03;14;1;0
493;20.3;0.03;17;0;0
494;23.3;0.04;16.5;1;0
495;20;0.03;13.25;1;0
496;19.5;0.03;16.25;1;1
497;27.3;0.06;17.5;1;0
498;24.3;0.05;18.5;1;0
499;23.7;0.04;18;1;0
500;19.8;0.03;16.25;2;0
501;26.7;0.06;18.25;1;0
502;23.8;0.04;16.75;0;0
503;22.1;0.04;18.25;1;0
504;24.7;0.05;17.75;0;0
505;27.7;0.06;19.75;1;0
506;19.1;0.03;13;1;1
507;17;0.02;9;1;2
508;24.1;0.05;17;1;0
509;22.1;0.04;16.5;1;0
510;15.3;0.02;10.25;1;2
511;21.5;0.04;18.25;0;1
512;15;0.02;10.5;1;2
513;21;0.03;16;1;1
514;21.5;0.04;18.5;1;2
515;17;0.02;15.25;0;1
516;23.3;0.04;17.25;0;0
517;25.5;0.05;17.25;0;0
518;18.1;0.03;14.75;0;0
519;27.1;0.06;18;0;0
520;22.2;0.04;19.75;0;0
521;16.1;0.02;16.75;0;0
522;26;0.05;20.75;0;0
523;20.6;0.03;18.75;1;0
524;22;0.04;16.5;1;0
525;23.6;0.04;19;2;0
526;23.5;0.04;19;0;0
527;26.6;0.06;20;0;0
528;23.3;0.04;18.25;1;0
529;33.3;0.09;18;1;0
530;21.4;0.04;16.25;0;0
531;22.9;0.04;16.75;2;2
532;21.7;0.04;18.75;0;0
533;26.4;0.05;19.75;2;0
534;21;0.03;14;0;0
535;25.9;0.05;18.75;0;0
536;17.8;0.02;17.75;1;0
537;19.5;0.03;14.5;0;2
538;25.3;0.05;19;0;0
539;18.3;0.03;17.25;0;2
540;21.5;0.04;15;1;0
541;25.1;0.05;18.75;1;0
542;26.7;0.06;18;0;0
543;17.7;0.02;16;0;2
544;19.3;0.03;17.75;0;0
545;27.3;0.06;19.25;0;0
546;26.9;0.06;18.25;2;0
547;13.8;0.01;15.25;1;2
548;27.6;0.06;19.75;0;0
549;24.6;0.05;18.5;0;0
550;22.2;0.04;18.75;1;0
551;21.1;0.03;20.25;1;0
552;24.9;0.05;19.5;1;0
553;25.1;0.05;16.25;1;0
554;27.4;0.06;18.5;0;0
555;22.9;0.04;16.75;2;0
556;28.4;0.06;18.25;1;0
557;24;0.05;19.75;1;0
558;25;0.05;19;1;0
559;23.2;0.04;17.5;1;0
560;26.6;0.06;14.75;1;2
561;18.7;0.03;15.25;1;2
562;20.6;0.03;12.75;1;2
563;13.8;0.01;12.25;1;0
564;30.8;0.07;19.25;1;0
565;23.2;0.04;19.5;1;0
566;23.4;0.04;19;1;0
567;20.9;0.03;20.25;1;0
568;21;0.03;18;1;1
569;23.6;0.04;20;1;0
570;20.1;0.03;18.25;0;0
571;17.2;0.02;15;1;2
572;19.4;0.03;18.5;1;2
573;24.6;0.05;19;1;0
574;23.7;0.04;20.25;1;0
575;22.6;0.04;18.25;1;0
576;22.6;0.04;18.75;1;0
577;19.2;0.03;17;1;0
578;15.7;0.02;14;1;2
579;22.3;0.04;20;1;0
580;25.7;0.05;20;1;0
581;26.9;0.06;17.5;1;0
582;23;0.04;18.75;1;0
583;24.2;0.05;19.25;1;0
584;17.7;0.02;17;0;2
585;18.1;0.03;17.25;1;2
586;19.7;0.03;18.5;1;0
587;31.6;0.08;18.75;1;0
588;19.8;0.03;17;0;0
589;19.5;0.03;16.25;1;0
590;27.9;0.06;18.75;0;0
591;23.9;0.04;19.75;0;0
592;21.2;0.04;20.25;0;0
593;31.8;0.08;21.25;0;0
594;26.7;0.06;20.75;1;0
595;27.2;0.06;19.25;0;0
596;15.6;0.02;13.25;1;2
597;25.4;0.05;17.5;1;0
598;23.2;0.04;16;0;1
599;20.5;0.03;16.75;0;0
600;16.9;0.02;16.25;0;2
601;19;0.03;16.75;0;2
602;25.8;0.05;17.75;0;0
603;25.5;0.05;16.75;0;0
604;29.5;0.07;19.25;1;0
605;19.7;0.03;18;0;1
606;25;0.05;17.75;1;0
607;20.7;0.03;17.5;1;0
608;25.8;0.05;18;0;0
609;17.9;0.03;16.5;1;0
610;27.2;0.06;17;0;0
611;22.7;0.04;17.5;0;0
612;20.9;0.03;18.25;1;0
613;24.6;0.05;17.5;0;0
614;21.6;0.04;17.5;1;0
615;25;0.05;19.5;2;0
616;27.6;0.06;18;1;0
617;22;0.04;17;0;0
618;18.5;0.03;16.25;1;1
619;27.5;0.06;17;1;0
620;22.7;0.04;17.5;0;0
621;26.4;0.05;16.25;1;0
622;27.7;0.06;18;0;0
623;21;0.03;15.5;0;0
624;21.5;0.04;16.5;1;0
625;28.3;0.06;17.75;1;0
